country,year,niger_rate,world_rate,,year2,niger_schooling,world_schooling,,educational_level,1990-1999,2000-2009,2010-2013,,,,,,,,,,
Niger,1990,296.83,87.84,,1990,0.7,5.8,,no_education,123.3,108.5,55.8,,,,,,,,,,
,1995,271.86,80.88,,1991,0.7,5.9,,1to6 years,85.7,97.1,50.3,,,,,,,,,,
,2000,229.05,73.48,,1992,0.8,6.1,,7years ,46.2,50.6,33.8,,,,,,,,,,
,2005,181.11,63.52,,1993,0.8,6.2,,,,,,,,,,,,,,,
,2010,143.45,53.48,,1994,0.8,6.3,,,,,,,,,,,,,,,
,2017,112,40.6,,1995,0.9,6.5,,,,,,,,,,,,,,,
,2018,95.07,39.66,,1996,0.9,6.6,,,,,,,,,,,,,,,
,2019,87.78,37.88,,1997,1,6.7,,,,,,,,,,,,,,,
,2020,80.48,36.1,,1998,1,6.9,,,,,,,,,,,,,,,
,2021,73.19,34.32,,1999,1.1,7,,,,,,,,,,,,,,,
,2021,73.19,34.32,,2000,1.1,7.1,,,,,,,,,,,,,,,
,2022,65.89,32.54,,2001,1.1,7.1,,,,,,,,,,,,,,,
,2023,58.6,30.77,,2002,1.2,7.2,,,,,,,,,,,,,,,
,2024,51.3,28.99,,2003,1.2,7.3,,,,,,,,,,,,,,,
,2025,44.01,27.21,,2004,1.3,7.4,,,,,,,,,,,,,,,
,2026,36.71,25.43,,2005,1.3,7.5,,,,,,,,,,,,,,,
,2027,29.42,23.65,,2006,1.3,7.6,,,,,,,,,,,,,,,
,2028,22.12,21.87,,2007,1.4,7.6,,,,,,,,,,,,,,,
,2029,14.83,20.09,,2008,1.4,7.7,,,,,,,,,,,,,,,
,2030,7.53,18.32,,2009,1.4,7.8,,,,,,,,,,,,,,,
,2031,0,16.54,,2010,1.4,7.9,,,,,,,,,,,,,,,
,2032,,14.76,,2011,1.5,8,,,,,,,,,,,,,,,
,2033,,12.98,,2012,1.6,8.1,,,,,,,,,,,,,,,
,2034,,11.2,,2013,1.7,8.1,,,,,,,,,,,,,,,
,2035,,9.42,,2014,1.7,8.2,,,,,,,,,,,,,,,
,2036,,7.65,,2015,1.8,8.3,,,,,,,,,,,,,,,
,2037,,5.87,,2016,1.9,8.4,,,,,,,,,,,,,,,
,2038,,4.09,,2017,2,8.4,,,,,,,,,,,,,,,
,2039,,2.31,,2018,2,8.4,,,,,,,,,,,,,,,
,2040,,0.53,,2019,2.1,8.5,,,,,,,,,,,,,,,
,2041,,0,,2020,2.01,8.78,,,,,,,,,,,,,,,
,,,,,2021,2.06,8.87,,,,,,,,,,,,,,,
,,,,,2022,2.1,8.96,,,,,,,,,,,,,,,
,,,,,2023,2.15,9.05,,,,,,,,,,,,,,,
,,,,,2024,2.2,9.14,,,,,,,,,,,,,,,
,,,,,2025,2.24,9.23,,,,,,,,,,,,,,,
,,,,,2026,2.29,9.33,,,,,,,,,,,,,,,
,,,,,2027,2.33,9.42,,,,,,,,,,,,,,,
,,,,,2028,2.38,9.51,,,,,,,,,,,,,,,
,,,,,2029,2.42,9.6,,,,,,,,,,,,,,,
,,,,,2030,2.47,9.69,,,,,,,,,,,,,,,
,,,,,2031,2.52,9.78,,,,,,,,,,,,,,,
,,,,,2032,2.56,9.88,,,,,,,,,,,,,,,
,,,,,2033,2.61,9.97,,,,,,,,,,,,,,,
,,,,,2034,2.65,10.06,,,,,,,,,,,,,,,
,,,,,2035,2.7,10.15,,,,,,,,,,,,,,,
,,,,,2036,2.74,10.24,,,,,,,,,,,,,,,
,,,,,2037,2.79,10.34,,,,,,,,,,,,,,,
,,,,,2038,2.84,10.43,,,,,,,,,,,,,,,
,,,,,2039,2.88,10.52,,,,,,,,,,,,,,,
,,,,,2040,2.93,10.61,,,,,,,,,,,,,,,
,,,,,2041,2.97,10.7,,,,,,,,,,,,,,,
,,,,,2042,3.02,10.79,,,,,,,,,,,,,,,
,,,,,2043,3.07,10.89,,,,,,,,,,,,,,,
,,,,,2044,3.11,10.98,,,,,,,,,,,,,,,
,,,,,2045,3.16,11.07,,,,,,,,,,,,,,,
,,,,,2046,3.2,11.16,,,,,,,,,,,,,,,
,,,,,2047,3.25,11.25,,,,,,,,,,,,,,,
,,,,,2048,3.29,11.34,,,,,,,,,,,,,,,
,,,,,2049,3.34,11.44,,,,,,,,,,,,,,,
,,,,,2050,3.39,11.53,,,,,,,,,,,,,,,
